h_score,gdp,familiy_size,life_expct,freedom,generosity,trust
4.3759999275,0.9005967379,1.0074837208,0.637524426,0.1983032674,0.0834880918,0.0266744215
4.3150000572,0.7922212481,0.7543725967,0.4554276168,0.469987005,0.2315384895,0.0922268853
4.2919998169,0.6484572887,1.2720308304,0.2853492796,0.096098043,0.2018700242,0.1369570047
4.2909998894,0.8089642525,0.832044363,0.2899574339,0.4350258708,0.1208521277,0.0796181336
4.2859997749,0.9506126642,0.570614934,0.6495469809,0.3094100356,0.0540088154,0.2516666353
4.2800002098,0.0921023488,1.2290234566,0.1914070249,0.2359613478,0.2464558333,0.0602413565
4.1900000572,0.4761804938,1.2814733982,0.1693656743,0.3066137433,0.1833541989,0.1049702466
4.1799998283,0.6030489206,0.9047800303,0.0486421697,0.4477061927,0.2012374699,0.1300617754
4.1680002213,0.6017650962,1.0062383413,0.4297834039,0.6333758235,0.3859229684,0.068105951
4.138999939,0.6595166922,1.2140085697,0.2909208238,0.0149958553,0.1823174506,0.08984752
4.1199998856,0.6672248244,0.8736647367,0.2956377268,0.4230262935,0.2569239438,0.0253363699
4.0960001945,0.8946519494,1.3945375681,0.5759039521,0.1229747757,0.2700614631,0.0230294708
4.0809998512,0.3814307153,1.1298277378,0.2176326066,0.4431859553,0.3257660568,0.0570697188
4.0320000648,0.3502277136,1.0432800055,0.2158442587,0.324367851,0.2508646846,0.120328106
4.0279998779,0.1619253308,0.9930250049,0.268505007,0.3636586964,0.2286738455,0.1385729462
3.9700000286,0.2334420383,0.5125688314,0.3150895834,0.4669146538,0.2871704698,0.072711654
3.9360001087,0.4380129874,0.9538558722,0.0411347151,0.1623420268,0.2161138505,0.0535818823
3.875,0.375846535,1.0830959082,0.1967637539,0.336384207,0.1891434938,0.0953753814
3.8080000877,0.5210212469,1.1900951862,0,0.3906612992,0.1574972719,0.11909464
3.7950000763,0.8584281802,1.1044119596,0.0498686656,0,0.09792649,0.0697203353
3.7939999104,0.4014772177,0.5815433264,0.1807467788,0.1061795205,0.3118709326,0.0611578301
3.7660000324,1.1220941544,1.2215549946,0.3417555094,0.5051963329,0.0993484482,0.0985831991
3.6570000648,0.4310854077,0.4352998435,0.2099302113,0.4259627759,0.2079484612,0.0609290153
3.6440000534,0.3058086932,0.9130203724,0.3752233088,0.1891967654,0.2087325305,0.0672319755
3.6029999256,0.3686102629,0.6404498219,0.27732113,0.0303698573,0.4892037809,0.0998721495
3.5929999352,0.5916834474,0.935382247,0.3100809157,0.2494637221,0.1041252092,0.0567674227
3.5910000801,0.3972486258,0.6013231277,0.1634860039,0.1470624357,0.2856708169,0.1167935133
3.5329999924,0.119041793,0.8721179366,0.2299181968,0.3328811824,0.2665498853,0.0389482491
3.5069999695,0.2445499301,0.7912446856,0.1941291392,0.348587513,0.2648150921,0.1109376177
3.4949998856,0.3054447174,0.4318825305,0.2471055686,0.3804261386,0.1968961507,0.0956650153
3.4709999561,0.3687458932,0.9457070231,0.3264248073,0.581843853,0.2527560294,0.4552200139
3.4619998932,0.7771531343,0.3961026073,0.5005333424,0.0815394446,0.4936637282,0.1513471305
3.3489999771,0.5111358762,1.0419898033,0.3645092845,0.3900177777,0.3542563617,0.0660351068
2.9049999714,0.0916225687,0.6297935843,0.1516107917,0.0599007532,0.2044351846,0.084147945
2.6930000782,0,0,0.0187726859,0.2708420455,0.2808764875,0.0565650761
